,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
2140,6073,2821574298591049,1800485826065424,169297725130796675,2253930906617076,4507861813234152,27877115944475,1,53118493,1,42432132,169297725130796675
2141,6077,590737149927904562709645191923005292836656,499200808921180872249551837078749680868969,3205651270143147137920240098329569051445325,70698268276900466734396233930063285430564,8342395656674255074658755603747467680806552,31122827865467447940973204838151155839275,59,100062450832340967628,1,706541441757793052563,8342395656674255074658755603747467680806552
2142,6078,139905345770705816185861443,42190823719352689911998882,376384541047273124766321132,4191073126036109988073655,4245557076674579417918612515,31365378420606093730526761,3,6828990793441,2,4592974184521,4245557076674579417918612515
2143,6079,8545336544035211217194927813477903524107266721798030630032268402915256911555252204927769929038679042647377582489600,8144834356904064059405959613378029754264516828788075459336758502668218520108613283827881268880102334360253624517601,201580681719546075536052749010936825515852763197666344154753367804506253189582376574518525922866274952118025503797761,8342682462803305498976037444382532480331668568171247009803712637376924890530560167976605473569551959583450597168640,16685364925606610997952074888765064960663337136342494019607425274753849781061120335953210947139103919166901194337280,33160171363636465789776731207589541950296555880517575942548670472858406512515607266740997848801821837821685392959,1,2923240760531915410366677052233691670818770264302304463360,1,2853915618392398100547481453963709726845117001427540461199,201580681719546075536052749010936825515852763197666344154753367804506253189582376574518525922866274952118025503797761
2144,6083,6889,6336,63595,1992,43824,115,1,83,11,24,63595
2145,6085,547381405474514799772671389376671731997125,11317662567583938965645964229636077339204,12279584665815289425792260293888079632245300,547264390923858200676579982341945761847997,547264390923858200676579982341945761847997,1009004491850064866540037822012167595090,6085,9484506290183564545,1,106384503418420574802,12279584665815289425792260293888079632245300
2146,6086,98,81,3043,63,252,1,2,7,1,9,3043
2147,6087,42936652587403789930636630251406884526127580187958956058845274698157012619504105929245966669,12369816023572874099504327234893005510497274726955219133557002142611960408437521538697938700,3596063552248015708681096621395488754662415318864411407435450087194942237636856793125204953380,41116222916926213415175657537163541522035750479389311329662907047743456195213016314585055419,41116222916926213415175657537163541522035750479389311329662907047743456195213016314585055419,295388824728767513445136900065343252395467004999540940318338269031948598458752816915163870,2029,145469875797757446863084389779167344914032881,3,2030584154340229431269121308986297110009006270,3596063552248015708681096621395488754662415318864411407435450087194942237636856793125204953380
2148,6090,15,14,29,1,420,1,15,1,14,1,420
2149,6094,3199277525411,3161601550802,8147618808147,678060093401,29834644109644,29413786311,11,539299,2,1257299,29834644109644
2150,6095,144,121,6095,132,264,1,1,12,1,11,6095
2151,6101,2889801913896864070917180757194271431569561522284344766226344959045787407671673691024705257989794423082002860830464775122887909204744320067328220653955925957375213994352781541516904914888552104474570725,1422182102582637996731764945248846029659442442050360256472788679352148314414727697624247105423695162288741531271231465521694103420709047112240353223994465130313152358444689013022249089280057996852145124,2515621825445073832619411990391232992044226447787400563949559809939723979468372259210558518733031370207386289543535989089724275330054622637565281952679753165226181615233874652874233366737715801845089443,25954408105504160791912460377474058476894021656049059561001168641204021947736691813658412130315120402950782173724663030622759234835186268776640822516212285895234773275539184048587885505268097689887430,316695687703361769982915841525938461535060852247110624763336259759971475806283113510259944814105099156805444083788338299658908183458942851612571316342822312493654703508129123760869378935281328012006420860,2515621825445073832619411990391232992044226447787400563949559809939723979468372259210558518733031370207386289543535989089724275330054622637565281952679753165226181615233874652874233366737715801845089443,6101,688229881239347800615541572994191914282862184724608811745661797410084724698644792089012697171325385,1,37711829743233594482192695802799556513458777858149196836978889313071667655573701804132655363707879318,316695687703361769982915841525938461535060852247110624763336259759971475806283113510259944814105099156805444083788338299658908183458942851612571316342822312493654703508129123760869378935281328012006420860
2152,6103,28976689,8294336,587479088,6733815,114474855,818216,1,5383,359,152,587479088
2153,6106,3481,2,236,63,192339,59,1,59,2,1,192339
2154,6109,26154322174791570754501,24862701310965669168900,8117552090655167149501,326257743626491735110,3986217111628476019573980,8117552090655167149501,6109,2069124733,1,157679108670,3986217111628476019573980
2155,6110,40625,18424,36207,350,4277000,36207,65,25,94,14,4277000
2156,6117,35226591217762881280730177181316800,2130640569712532018318964123867721,30011038845313858761896357783467440,778692802975359706034029450535741,1587754625266758440603386049642375899,5001839807552309793649392963911240,3,108361418745730840,1,46158862309555811,1587754625266758440603386049642375899
2157,6118,31329,15200,347599,3540,269040,2159,1,177,38,20,347599
2158,6119,2832385016424948417931558044402386869410942612654916293062500,101007504255153231494714618098824413992075677311800829370481,1069751637715549810229546893826155219550010897985503566576500,36185595847606699110101242195167949868291033481249588388491,221419660991505391854709500992232685244072833871766231349176429,534875818857774905114773446913077609775005448992751783288250,1,1682969107388768564835105154250,1,317816777806259359059355862809,221419660991505391854709500992232685244072833871766231349176429
2159,6126,16470070534202,450792730921,246260097037916,9505437203961,28516311611883,60298750499,2042,89809,1,671411,246260097037916
2160,6127,244056716553019957842143542000478617101232387186165321813416484,141465338282972251437684151721127029566968932627144815351394209,15566966342308350612454144915306299338876702622226244369122691745,185810564735712597258755256572118347361092364020425002690555034,371621129471425194517510513144236694722184728040850005381110068,2540715903755239205558045522328431424657532662351272134669935,1,15622314698949703267757127526522,1,11893920223499577998070559849297,15566966342308350612454144915306299338876702622226244369122691745
2161,6133,1212160745372501778401045180051828232598059594326385551819609988446937972062181310883737227721703665456447752768948983470580733397341012165001613199496558262854007860845872445190597100395948491308388431877247901499294659094441328198562814840212561734050880152411026427520295074530915252767431947005653460266505076325,431515690493535621998861242750747368897642686373985090827664196899696253417770460120679552829606671244294887107663843707688576694809046585873539609073267422490768497937824360890546673509457852261947251128477342441427638964613906374921130601997293703576442544095873115558839721178915410268318572373587201840039832516,113277819803317963530409925587877080860718040598775783722151721545449926848874923027210216432424830153768508767965524779145966524912943468068685963306211106549741299834907389149051113316963984916455661926606524999951508468267392499678159745928369874823402624571697904927471530645423212624185272958569645652429845877780,1132752347814784386732037669116703140302435144870571326092449257248574082680415418405248042796200047567133300385557254355160290059874161729950634191344491629679304338010902592686724202486088382667219258541625107339321501149465745353208568439717838373368020216261246534880321928809663584844310672652969382573192211037,1132752347814784386732037669116703140302435144870571326092449257248574082680415418405248042796200047567133300385557254355160290059874161729950634191344491629679304338010902592686724202486088382667219258541625107339321501149465745353208568439717838373368020216261246534880321928809663584844310672652969382573192211037,9235106783247836583271639131573217092835320446663605390685775439870367426127093023578201241841254700290926852108717167711231577116659340295832868360199829329018530884959024062371687046874611520989374036084014756232798668536392670771087538392986293398288164403366860013653312460901941352045106225221722293529255330,6133,444573554935516715345034686673181512763576276157904765075274840348225261173305656510140766191606232685988743019834588012473033849943930294331098110722809145,1,20772955747643030638365123802352052212995033992469951155008794597227847562717309042616903976682740574361798116076844673386809758230912592695953324509120408754,113277819803317963530409925587877080860718040598775783722151721545449926848874923027210216432424830153768508767965524779145966524912943468068685963306211106549741299834907389149051113316963984916455661926606524999951508468267392499678159745928369874823402624571697904927471530645423212624185272958569645652429845877780
2162,6134,20633160911869069285062118787851786562,5046129937949139762353973453633149761,28860715305328727432425409101017234884,361257044303394313432382459483921787,1107975354878510359297117003237188120729,7215178826332181858106352275254308721,2,3211943407959507409,1,2246359262884977569,1107975354878510359297117003237188120729
2163,6135,8836,409,76892,2279,34185,94,1,94,409,1,76892
2164,6141,36870909,302500,55482900,3908177,347827753,402050,69,731,1,550,347827753
2165,6142,40762308121408949594,12546224910525193969,389073609136811049116,4257039533397125175,353334281271961389525,2628875737410885467,74,742187309,1,3542065063,389073609136811049116
2166,6143,2799544697856,2485235590369,101014148802335,2637712668192,5275425336384,16443781345,1,1673184,1,1576463,101014148802335
2167,6149,5776,43,6536,483,69069,76,1,76,43,1,69069
2168,6151,573084981047654712399571600,379418442200741854713302361,33684758000413061511873809773,466303560738863349220975740,932607121477726698441951480,5476305966576664202873323,1,23939193408460,1,19478666335269,33684758000413061511873809773
2169,6157,1164520917936,992779082689,4172941058825,93942974772,24613059390264,88785979975,131,94284,1,996383,24613059390264
2170,6158,1321104648888635197271535608204981688942430147214320260776612211704148611115357299285895091690164782020238133880739159717564881793990168840398371793552721591670635955294244209072336687436161650405000,553014764434495441915860026015737563750422840352567768858016957616319568203644396015924158781151787650717153109217412837821801177642495996382566424322443257042820457794328744158732501150166812519361,66574742746967096796989395201546333382843940508627240903977434317415260304081178581051836520514420566640015859318295125071608598448135329016806967935084680988575126822697200998922919914423507647171371,604396548715520629972739690632373118554329362140035480066129146158082271949149351891049639442367364464285873790908666516982572527065572059345302114510388449371591071257147980182684004154997269733550,2417586194862082519890958762529492474217317448560141920264516584632329087796597407564198557769469457857143495163634666067930290108262288237381208458041553797486364285028591920730736016619989078934200,21622196410187429943809482040125473654707353201892575805124207313223533713569723475495887145344079430542389041675315077970642610733398937647550168215357155241498904456868204286756388410010882639549,2,812743701571607135291124875163298563508528430043694051131619979777311404294173781615180929254812050,1,743649624779368420220195587417666864569394937919547561426753822004890480242735179360646896177843231,66574742746967096796989395201546333382843940508627240903977434317415260304081178581051836520514420566640015859318295125071608598448135329016806967935084680988575126822697200998922919914423507647171371
2171,6159,66157135256060607497578452305697500453484910085191964424356297113717,63143614642529616180881178871747640423446857695366074152467570098092,19739566235467710351100764625766439844726980239536850394930583089875,823565154657067304974681712520439104733633540268888182326030925414,10144675575065755062678129334826768892108897949032164629892048939249652,19739566235467710351100764625766439844726980239536850394930583089875,2053,179512159259470146218786279311033,3,4587795935687405011489596762193558,10144675575065755062678129334826768892108897949032164629892048939249652
2172,6166,87205691521318431537937428803914379890079860933922,73720127326648778870681811447362418303427404402241,2586629263191076145975069502568653846898118277639057,56695743590502676404835046257250342093897934409801,226782974362010705619340185029001368375591737639204,838997490493375331162850957693368098247848938579,2,6603245093184048682556969,1,8586042588215410131543329,2586629263191076145975069502568653846898118277639057
2173,6167,86098319403217839693914295198517776,20462444482814548039958129932207849,83947175791731781980572273165314536,1064957625722013627604671177704275,6567593677827658041438007152902263925,41973587895865890990286136582657268,1,293425151279193924,1,143047000957078957,6567593677827658041438007152902263925
2174,6173,6451107306736136522317292599337906205390209420749299937442782954850738921239870636165789726721521279213909372674201216514136572186164779096741900600289033125,1705869023670578821865029229766508782394878552879158215351135903133034950592786708698072494331845028017006416523994898218207473943057326835872993697458516996,521276454372858125946998643155205181651379010519999444818229934823330055946699012584293117811037109744708132618446257692312586275734646912270916079533379939100,6221478631089682945770648084361629584726177708794812071261742807081381233748992092657675423033481330886509315907747418079763563689091348431454830435251573603,6221478631089682945770648084361629584726177708794812071261742807081381233748992092657675423033481330886509315907747418079763563689091348431454830435251573603,42222295024530870399076514106204858387443626317835691302302764848803665636376074241397466208572583002163302496229244912709589039019491893104723479631733350,6173,32327267319303891937276940229700835564015059534847921977494132225964499931725,1,1306089209690738859166207634674774637657452782943741529145977601596309858181886,521276454372858125946998643155205181651379010519999444818229934823330055946699012584293117811037109744708132618446257692312586275734646912270916079533379939100
2175,6181,642372596272,2662869609,2457982580856,242791933723,1699543536061,1391836116,883,26972,1,51603,2457982580856
2176,6182,971408911250,232687570129,1344722362900,16963734393,52434903008763,336180590725,2,696925,1,482377,52434903008763
2177,6189,18632259938059658578817748883376434835672879848419893155008,17250896907072507474415216434565972648993037491962224363041,319778197472748130590147196717090461726967100947300471376377,10350896826479084591107343800782655933719450126182773380424,62105380958874507546644062804695935602316700757096640282544,155006397223823621226440715810514038646130441564372501879,3,78808332761748949840382700344,1,131342669788125243036114249071,319778197472748130590147196717090461726967100947300471376377
2178,6190,11201338251973350010,3720018287475721449,40826061843651877140,424666442470094539,262868527888988519641,2041303092182593857,10,1058363749,1,1928734893,262868527888988519641
2179,6191,848934281753918841733618344194236467759758301569126400,818339708518758183151896158754410745238507021360939201,17770763590931163139367076839672379851235400681001686153,833496630276381668358769171548497825342713600666150080,1666993260552763336717538343096995650685427201332300160,2870418929241021343784053761859534784563947775965383,1,921376297586343840137782080,1,904621306690682685885608351,17770763590931163139367076839672379851235400681001686153
2180,6197,1114260381854739486653578668690690442825159082584699609334070009540587817384883512444334299494055215267037286451947004399471612928490763171322218649689902712644199258989044090991166666765053925,339618770758457353650303334222621598351805637246024276683471683071246205213823997947039884300817580049954354857095458816445822512410822323838795211500676675777300247395082392796136971135700996,96852298354899883268145451854280686998014734569116054000198075805636955032762245394907518175092421144687266175886803443756331900841416171938824620497555336586182346462545509264620041364713017780,1061242332890836128737330152158517800067543836713200398001617049982532970326564023271542010064769502095374593142059707238223280884542696602920900484459615522887699637492763305192562430464525603,1061242332890836128737330152158517800067543836713200398001617049982532970326564023271542010064769502095374593142059707238223280884542696602920900484459615522887699637492763305192562430464525603,7814450407850563439417899939832232289657474146289822010666296256707838876291935242448565287646637174817433126987800826509305462388366642886785914192153891930464930326169558598081333013128370,6197,13409191606297902239146940285611627646822263172720944179685680231253219771296219561624027887705,1,582768196419860710341526871976151962427263704811887897803978491735788733857816280080517193946114,96852298354899883268145451854280686998014734569116054000198075805636955032762245394907518175092421144687266175886803443756331900841416171938824620497555336586182346462545509264620041364713017780
2181,6198,1058,25,460,19,58881,115,2,23,1,5,58881
2182,6199,14405205531160487564258518390069131582246467711443600,3895184166874626856414911029393453881230286737888921,14981445658620683378615097643844142456663778603213320,176145336748344717338227569708405419186582614120979,1091924942502988902779672704622405193537625624935948821,7490722829310341689307548821922071228331889301606660,1,120021687753341010765562060,1,62411410550272190242260411,1091924942502988902779672704622405193537625624935948821
2183,6205,2144143464805,255390751044,116581702045380,2128879226717,2128879226717,9394174218,6205,18589,1,505362,116581702045380
2184,6206,58,49,321,7,812,3,58,1,1,7,812
2185,6207,36924751577476,29401413202249,1759902520037055,32949049736218,65898099472436,283535124865,1,6076574,1,5422307,1759902520037055
2186,6213,85264,72075,2073071,45260,271560,1001,1,292,3,155,2073071
2187,6214,426281696804203151,36380231397846338,5445340171652406716,117797924689081833,1531373020958063829,5695962522648961,239,42232753,2,134870737,5445340171652406716
2188,6215,565,396,403,6,74580,403,565,1,11,6,74580
2189,6221,22110205193666844200757546364923461,7479702298293483192474657630744100,2028610360756430247449582275527985780,20806614987425404773671902663318461,20806614987425404773671902663318461,163045359327795390407457183373090,6221,1885238437490021,1,86485272146727290,2028610360756430247449582275527985780
2190,6222,5408,833,24752,395,72285,364,2,52,17,7,72285
2191,6229,11277939377700359499309701085327537647464711583246268834471091525,1672810728531043404994975477122388682634467883182743223418730404,685610470746772410123244429005479207317543905211970011697322247260,11153188820852797338604750254632960631141896131251855398384110403,11153188820852797338604750254632960631141896131251855398384110403,55033751063314529629414386659614641781790327918764650160324470,6229,1345568192649205795190934918265,1,40900008906246504691542459007398,685610470746772410123244429005479207317543905211970011697322247260
2192,6230,6609407,482162,126027916,2947941,14739705,50573,623,103,2,491,126027916
2193,6231,76028021932,350762907,146427180636,13654890515,423301605965,364246718,67,33686,3,10813,423301605965
2194,6238,5074049119149657761206119234068106334570199798182794943624398498319302277769021344243996851604500000,2910576759642231297125079403556508578366967974758933504936367903794681692315344174111942380444978801,232118977549671582144197465458940145511298154968779069634931982065598629386281453224058629514462853191,2717389320973361085056399843175798267900104126513746358580723019903260140866498393214209799792701500,10869557283893444340225599372703193071600416506054985434322892079613040563465993572856839199170806000,74420961061132280264250550002866349955530027242314546211905092037703952993357311068951147648112489,2,50368884835529452890931561723847497795117933273500,1,53949761441939956896325767801179239770203486221849,232118977549671582144197465458940145511298154968779069634931982065598629386281453224058629514462853191
2195,6239,140705750324487121890293407085811999224064,137510358758483645417113313760236672550625,2355107152460219730183832106851703341939663,139098879242436208547790434271790078573200,278197758484872417095580868543580157146400,377481511854499075201768249214890742417,1,375107651647479889008,1,370823891838812949775,2355107152460219730183832106851703341939663
2196,6242,501859921,494236800,87139921,6303720,78695640480,87139921,3121,401,2,15720,78695640480
2197,6245,104824879205,1244537284,1805229235340,104817491037,104817491037,144533966,6245,4097,1,35278,1805229235340
2198,6247,11283958392115462969639931021208389329894805553727849861071559471505908088062025867136574766855558124817759779710901881435016795427651580714432490826162664007248039525284514482187880848854554959719510230889911377322792142199056,624458626746772987366405680946160028280715760417970485262896364884157135493552554420258201961335672668025685259246912856309929298729184865245002963144162413970304292200788873099357966686990558630522710105936268755101737626169,5308998083182229425346438626141108437469103491467372877800117236798970617507554236276530061141226315056735028610238781837275631103109113385388099461468816002485742866770696623122036108148610135480291162920871164650840342785816,142547523476388616494467680146801675622379921927830341597940876976777735274722900858294124902303734303652813743452956510369405311863540213483775251573007232570329942212766378849869783539400449081373723319884979667125417639835,890494379156999687240939597877070067613007372283156143962336658473930512261193961661763398264691428194919127455350619320277674983211535713633143996576576181866851149003151568675136537770634605411341649579321467980532483996049245,2654499041591114712673219313070554218734551745733686438900058618399485308753777118138265030570613157528367514305119390918637815551554556692694049730734408001242871433385348311561018054074305067740145581460435582325420171392908,1,106225977953208145409828344273849006512510432206791411021692721506855146441652892118707370410194140837348177269084,1,24989170189239437555445838230014748358558959565954248269638562320888542871794234909767174424967834867849132305237,890494379156999687240939597877070067613007372283156143962336658473930512261193961661763398264691428194919127455350619320277674983211535713633143996576576181866851149003151568675136537770634605411341649579321467980532483996049245
2199,6251,28,19,141,2,532,3,7,2,19,1,532
2200,6254,32833895211729759955546,18568971073991942205625,207995724219653031528063,2398292730872047310825,508438058944874029894900,3525351257960220873357,106,17599821829,1,136268011925,508438058944874029894900
2201,6261,2857602724712869184630853323862377241648,20065338438290545337972199839064268201,829496949676452491146767282610278778824,62550375345859373461967491562343934837,130542633346808512415126154890611792004819,138249491612742081857794547101713129804,3,30863153461222273404,1,4479435057938729101,130542633346808512415126154890611792004819
2202,6262,689730204659188066387704831101800,1368704591805186534830879581929,873373811013817559595819234308760,123878957814700382612628752873767,3840247692255711860991491339086777,2161816363895588018801532758190,202,1847838186546470,1,1169916489244077,3840247692255711860991491339086777
2203,6263,112961868904806247720447199783396257791417023185350922543993500575393015462052784084761756120548566213340328384539534276353137191761991467056503787427392450686445645379782500938135750948528492703940366096,58858821439990475884776595397577668803300930257328024610717060878303058330642279354436162326651506824781145202616399806018464035319851146249233175706095085118454989305985282346182114938500645551234589529,7630268136232782071600879801066193426955898746605289651148827705290391501393703938484668869951484514511096896515812558048066550448063417154468882335103403903503946158418337118718219428474816154476140239925,81540189301936277946040769717387897873489121142861408757899489724081559153744548227875948076105982561385049972009402144374990380551143066983923921576825256514338195395628320245788918949288990776839718028,163080378603872555892081539434775795746978242285722817515798979448163118307489096455751896152211965122770099944018804288749980761102286133967847843153650513028676390791256640491577837898577981553679436056,1218308819452783342104563276555355808231821610506991801237238975776846798881319485627441939957126698788295848078526673806173806554057706714748344616813572393981150592115334044183014438523840995445655475,1,336098004910481799367469752667693339949811248185885947858707890892844711994857660450888615507059233436,1,242608370506853031550141076760891149454000789820290837202243667959052010579881996285907813716557652773,7630268136232782071600879801066193426955898746605289651148827705290391501393703938484668869951484514511096896515812558048066550448063417154468882335103403903503946158418337118718219428474816154476140239925
2204,6269,21304738585721400548870449236003002507306633576091783384399164455211582343656264317593133956994294628494073371345392027816273338770067845972724322680831952996198418038678725,3746123760011440803401358024005859247178104084640982124380821067220591051667003691437491094439841322159496570209999523322840422903600648083198876742843458750020387422392164,1414680267644871065243820311116214116884000525001654199795846813702673782991345026577427015201336018020649892453609049568002859031428467951183518152280599843753764034117887220,20972802458913402150809888397794679327524900534371177739171518970286506241645866750438255884134564368093635937503171182623490872449644344244474040287233612139976497230249277,20972802458913402150809888397794679327524900534371177739171518970286506241645866750438255884134564368093635937503171182623490872449644344244474040287233612139976497230249277,112831413913293273667556253877509500469293390094245828664527581249216285132504787571975356133461159516721159072707692579997037727821699469706772862679901088192196844322690,6269,1843482290603813650193615938124550567699301247719069828156319759531921848756528486445,1,61205586019671773120629703359888833917221525007845210702034791293241222757841318845642,1414680267644871065243820311116214116884000525001654199795846813702673782991345026577427015201336018020649892453609049568002859031428467951183518152280599843753764034117887220
2205,6270,30,19,77,1,1140,7,30,1,19,1,1140
2206,6271,2555550080315644817707861996483154140682809600,175105375037506655966830471878782810826860481,1337894697262533052812774226474679752679735520,32195420478171565375419524173909829035394047,201897481818613886469255836094588537880956068737,668947348631266526406387113237339876339867760,1,50552448806320399830640,1,13232738758001181667809,201897481818613886469255836094588537880956068737
2207,6274,164070481,76582688,8126934927,79262092,317048368,2590671,1,12809,2,6188,8126934927
2208,6277,31400361287090840010537276357854147513486320761505214191568422814235621045061135864630713818946599801727560114693470211178729925,228514256946671989113613468514549155238923913277042449678530616553151444824031491340698508270204928900338665248544698951611044,424453415758398483857309798355474698859827194372432443249892490975951409850735787947540761094532258944849815449376427036626525060,31399529776641643603470987402779250364718034266832113804070571525902909668079651294390870035149072270640529412775793414371533117,31399529776641643603470987402779250364718034266832113804070571525902909668079651294390870035149072270640529412775793414371533117,33810213139907478401888625008401680648385151694474465767874182808344066421119626250401526293972619001501498761301292578988890,6277,70727980558504247829467273426616628173561902701732951656397345,1,478031648478081406113358040306176105566248180611624578544270362,424453415758398483857309798355474698859827194372432443249892490975951409850735787947540761094532258944849815449376427036626525060
2209,6278,3308896053533407746469238468044691543352050,297929909320580217266787859683619355343409,2808300697831959609642773887364208915902260,58819302728252227557872640258958603344561,184633791263983742304162217772871055898576979,702075174457989902410693471841052228975565,2,1286253484647059711605,1,545829560687748220153,184633791263983742304162217772871055898576979
2210,6279,23,16,273,4,184,1,23,1,1,4,273
2211,6285,4624,419,56984,1189,17835,68,1,68,419,1,56984
2212,6286,225,224,449,60,1680,1,1,15,14,4,1680
2213,6287,6110316886464195457309787804197731444375434772508674966118221908676287439290128797696,4737591927072658478936688619130161789083344807725914400828079326733166076436210034529,305975397918728744365338059825790729524364341456000662130532422535950354440408752979705,5380352028740174757887116888970362095735491714404196166071875424476322293801737435072,10760704057480349515774233777940724191470983428808392332143750848952644587603474870144,48667949406510059545942112267502899558511904160330946736206843094631836239925044215,1,2471905517301216643997452661856056553651264,1,2176601003186541416819766787303330994979023,305975397918728744365338059825790729524364341456000662130532422535950354440408752979705
2214,6290,153,32,816,11,2035,12,17,3,2,4,2035
2215,6293,18773212738372712356,4940727389844358131,577530052580109137916,6845464915646617135,47918254409526319945,321206925795388842,1,4332806566,899,74133687,577530052580109137916
2216,6294,4397578465560002,4347868506380161,36988019686319601,3091932479432881,12367729917731524,11753422207283,2,46891249,1,65938369,36988019686319601
2217,6295,15248312295019775357628082959881825729205125,175545824317354198899445237240310274251756,259617523948543046320809832145055664045952900,15247301778020135628679251054433072419702717,15247301778020135628679251054433072419702717,20620931211163069604512298025818559495310,5,1746328279277397223105,1259,11808164281515089422,259617523948543046320809832145055664045952900
2218,6301,5299124388338178578237580547110722982202460215658062848928076870117771271076724248745146990870656837286667372200836596728130667598409311603287180588605578687525,1276790237323835146732991136209053151478803463936303000692813720549331647028965340144815463534320996227598663990187425522213399639529586914253839720694278738564,412949142962049491566378146252524302143897671497939563454625743787359474388635818770287863374039027485644003375845210149373536029598978872280458885824860933200420,5143007483268425108309434159472658859922312508192026822828669967294924638575366089547293061144337018312213182815393034528286630612535351323995005090718026295523,5143007483268425108309434159472658859922312508192026822828669967294924638575366089547293061144337018312213182815393034528286630612535351323995005090718026295523,32768540149345301663734180784996373761617018846051385768499106791569550419666387777359773319634901403399778080927250448291821617965321288071771059024350177210,6301,917059084054430532020257696118339848590556535346952490072854309194166573053005,1,35732201685927990781141393992990523680262490134936638055956075365776474672270242,412949142962049491566378146252524302143897671497939563454625743787359474388635818770287863374039027485644003375845210149373536029598978872280458885824860933200420
2219,6302,3200,49,1120,57,179607,280,2,40,1,7,179607
2220,6303,75163589107500,12395095167851,350683759103700,5364185452333,1024559421395603,5313390289450,3,5005450,11,1061521,1024559421395603
2221,6305,81,16,72,1,6305,36,1,9,1,4,6305
2222,6310,93138318951744160,28556728853693769,326173310998542960,3529198939904387,2226924531079668197,16308665549927148,10,96508196,1,168987363,2226924531079668197
2223,6311,2807270244825069032732730581984984679593518845579988486709288069285525186015339930563031593872679280400,2616298515773179056610071368189901983361100796077441912400846542380203811066744107057716610401148102281,80849289085030519515840968845974209238949806407734322366700239179154466290553894978193108727414106679373,2710102760950225869618237496140740838291437285177113904807719618410950944269742150420121580409077396180,5420205521900451739236474992281481676582874570354227809615439236821901888539484300840243160818154792360,12810852334817068533646168411658090514807448329541169761796900519593482220021216127110300859992728043,1,1675491045880302230131524983951928046929378568882020,1,1617497609201688760446691025711240870527899291982909,80849289085030519515840968845974209238949806407734322366700239179154466290553894978193108727414106679373
2224,6317,265267949196537656956647253324900650709336842654898170517943774455614179099843809144132278978310554657005061214876352575203601562663839749215384337142467111026073937580925944233731582188938496624209415868925605733423756577107456325,249635769067202549521774257839781983935455092365411104307444438697538106201358344725058723189576399729847663111214812984364431359297033555092006611385667909479840569633996401672066146405313606085827458460639317971507176222821534724,89716596419855351650244014172780907248733027992645470959163183195558756818328119510421019217820039917950106996675917151437269244830672296177821141357160412798752538872370569572707192972809973612586975572914595165720028539052823357,3237727978238217216876826777135339628366709897707503754130002894478025847770885165767133670549480944606338695026844747081916315682590967486781634967666550481557213798574164113409929732154304177311864955047576192662915275535281770,40905455277061636318021829502327880864785012847636602429678456568835378560737363184301966793722142254156483072969156534632930732333854283227999176181499198783993839131185989408821052236037478976158101842071077618103271591112749882180,89716596419855351650244014172780907248733027992645470959163183195558756818328119510421019217820039917950106996675917151437269244830672296177821141357160412798752538872370569572707192972809973612586975572914595165720028539052823357,6317,204921228817395318896579247321368543464280439161784607970454385158305777434457375644771244104652205659942276546485,1,15799866109154297182239193183384938681289494352223999380978399607447516037859476404022043669652552307650044412302082,40905455277061636318021829502327880864785012847636602429678456568835378560737363184301966793722142254156483072969156534632930732333854283227999176181499198783993839131185989408821052236037478976158101842071077618103271591112749882180
2225,6319,416935561,8207600,985829320,44186517,3932600013,6942460,1,20419,71,340,3932600013
2226,6326,232287458,184497889,7937292297,146383991,585535964,2509419,2,10777,1,13583,7937292297
2227,6333,465675136838413304418267275776445245164049200,1326082458444100209535850435347309393313089,86083003917961126600153631206601860092371160,10135313190047213931092311146470799181460767,21395646144189668608535868830199857072063679137,14347167319660187766692271867766976682061860,3,12458934369070431651420,1,1151556537233018450783,21395646144189668608535868830199857072063679137
2228,6334,1323974848807078776082813405583176520906811334694410974534077833865556768,3402912578034801067457997491915425879560324314545150529765963107143121,189849849428590959851304430121020202988214661941135917086641708794328368,23526334568020026972646397511275961146590221759594115151474941972964993,74507901576919425422371140918210968951251232312634562684721141228380132831,47462462357147739962826107530255050747053665485283979271660427198582092,2,813626096191327548081004810922939628,1,58334488752665014398972470553868489,74507901576919425422371140918210968951251232312634562684721141228380132831
2229,6335,56115924544,2108554561,21755320144,704540577,4463264555295,10877660072,1,236888,1,45919,4463264555295
2230,6341,32021677,21659716,97242771,1363622,1017262012,5720163,373,293,1,4654,1017262012
2231,6342,841,216,2088,25,26425,174,1,29,6,6,26425
