,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
1496,4237,20563849654572268507362581904372701961723346096,3066701348180942445228391999498145856819284529,69230066408457898727147372624003184034690599672,1361658273271980774608261467108230828297637025,303649794939651712737642307165135474710373056575,1821843852854155229661772963789557474597121044,19,32898447935372805130828,1,55377805555844684854023,303649794939651712737642307165135474710373056575
1497,4238,163,162,65,9,5868,5,163,1,2,9,5868
1498,4242,2525,2,2020,551,11571,5,101,5,2,1,11571
1499,4245,845,4,260,29,24621,26,5,13,1,2,24621
1500,4246,643905946562,38682629041,446389738844,13949618691,29615040480993,111597434711,2,567409,1,196679,29615040480993
1501,4247,393768366135928770101138267995694736,392516264928533332156112861721064489,2044799551012150771825068828530413195,393141817061840840899725019339898148,786283634123681681799450038679796296,481469166708771078838019502832685,1,627509654217310644,1,626511184998746317,2044799551012150771825068828530413195
1502,4249,225625,17424,125400,3451,14663299,62700,1,475,1,132,14663299
1503,4253,29277561396920612292058920458296335584053406100974248842873105139748042332460544314442776104389515313172188190920611317188897763677949012325,1902791714408378222397168546319196996880526578263398446344961285476065486704615390651198423692221932962905278783881836731963684445958808004,973510775680147690882241558733131191723353541492533194696258111911829118599248179173052686570095231201047737985793013931240477730659671545540,29215663351052545618982099764991831941953236852960841368664661900115910667271625582892652941190338625295044322973952043690628023973900413603,29215663351052545618982099764991831941953236852960841368664661900115910667271625582892652941190338625295044322973952043690628023973900413603,114449891333193944378349583674245378758917651245301339606896086516791572842610883984605300560791821208681840816575712900451502202052630090,4253,82969745670732454483244213253565170309172418444622172622772010520045,1,1379417164750525431998278412839509427321882046402965821183900288702002,973510775680147690882241558733131191723353541492533194696258111911829118599248179173052686570095231201047737985793013931240477730659671545540
1504,4254,3093244762048778,562117771614529,99309069376976108,1756149838783441,5268449516350323,35017302319103,1418,1476961,1,23709023,99309069376976108
1505,4255,6036278989456,167381629129,2010335505464,92502291303,393597249494265,1005167752732,1,2456884,1,409123,393597249494265
1506,4258,615281,39200,20268080,614031,614031,2380,2129,17,2,140,20268080
1507,4261,5585519226636466214612654725,3567619929257995308205534884,4297686944332591122507274237,68385700369794753048404730,582782938551390885478505109060,4297686944332591122507274237,4261,1144922284465,1,59729556580122,582782938551390885478505109060
1508,4262,5667846339012050,5649661922478289,20941935630510693,4001338253882965,16005353015531860,9827280915303,2,53234605,1,75164233,20941935630510693
1509,4269,12376324,1012683,12263748,326987,465302501,2043958,1,3518,3,581,465302501
1510,4270,305,224,207,4,34160,207,305,1,14,4,34160
1511,4271,141237062798639880269855658769268862765441600,140908870889490574525355744838039870129547441,628876865505156972370483908947940026066569657,141072871405895822571177320852115700581731160,282145742811791645142354641704231401163462320,147243471202331297675130861378585817388567,1,11884320039389711768040,1,11870504239057857921479,628876865505156972370483908947940026066569657
1512,4277,106401968807689,100948263317200,609952552007547,28744355920460,747353253931960,1853959124643,1,10315133,13,2786620,747353253931960
1513,4278,321146856,94809169,4759523496,63979115,1471519645,12794418,186,1314,1,9737,4759523496
1514,4279,9725,2156,599060,9483,9483,70,389,5,11,14,599060
1515,4285,3603685,2965284,2047837,49938,427968660,2047837,4285,29,1,1722,427968660
1516,4286,1382404142543581747892856118570649397292511259622314198518912,451700700004183015805728543961359721400189511412844394595809,2235053321736406850520599584592891915590196581613796149202592,28223225998074667761318507406022340606711532915618603599471,60482373313874013012505561371105875920182815038170667513666353,558763330434101712630149896148222978897549145403449037300648,2,831385633308509171009002840616,1,672086824751224397788067965553,60482373313874013012505561371105875920182815038170667513666353
1517,4287,53228821,14652300,3657068220,51172429,51172429,426530,1429,193,3,2210,3657068220
1518,4290,13,2,52,1,165,1,13,1,2,1,165
1519,4294,8738645813920473362,904794298367284081,7953201573145938476,187580478538255233,402735287421633985251,1988300393286484619,2,2090292541,1,951206759,402735287421633985251
1520,4295,426685436758147025045,78067804749389793196,23922219637651873811740,419482871882871800397,419482871882871800397,2784891692392534786,5,9237807497,859,301466738,23922219637651873811740
1521,4301,2277,1444,7259,114,57684,427,253,3,1,38,57684
1522,4303,900281469349684058351950573632198053535906676771545871360580164,887754506149679124740398548435818934832669320623605429990469889,9817404835478035476248698290579044331447118940844619921300112785,893996046533896174830244485641695310652913377780357708011112786,1787992093067792349660488971283390621305826755560715416022225572,2281525641524061230827027257861734680791800822878136165768095,1,30004690789103027487842110402642,1,29795209449669574771864699336833,9817404835478035476248698290579044331447118940844619921300112785
1523,4305,21,20,41,2,420,1,21,1,5,2,420
1524,4309,1467582027844,545142796875,21090832720500,244726070659,7586508190429,75866304750,1,1211438,139,62625,21090832720500
1525,4310,24868091494440,11620551485449,456441486491087,5375694723066,107513894461320,1059028970977,10,1576962,1,3408893,456441486491087
1526,4317,233187646300204993890748998500660126534002361711214119560090193457184138800,30571540257200798956824036445694458967815285416519449173470389761226067121,292483958869855655833624908344468200908992927449728660533746489464468158760,6094111314419094695563091240513487603076144635263792726674986674316883841,8769426181449077266915288295098908660826572130144597733685305824341995847199,48747326478309275972270818057411366818165487908288110088957748244078026460,3,8816417380852704652097730027340062140,1,5529153665544194201874102654039826489,8769426181449077266915288295098908660826572130144597733685305824341995847199
1527,4318,115200,9409,93120,2471,5334889,23280,2,240,1,97,5334889
1528,4319,729,112,1512,29,17893,108,1,27,7,4,17893
1529,4326,625,96,1200,23,16583,100,1,25,6,4,16583
